respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1257689608513981,0.3589156361547594
26708,0.1257689608513981,0.3589156361547594
26709,0.18856724919793658,0.34726248650465674
26710,0.21135369545551322,0.5478514490367026
26711,0.4017746938742552,0.637009768412186
26712,0.38417910419705986,0.6106120608413118
26713,0.21135369545551322,0.5478514490367026
26714,0.19283311204917272,0.34033171210323115
26715,0.2386151385960351,0.5974134858439073
26716,0.21135369545551322,0.5478514490367026
26717,0.12885262291847516,0.3110457053609262
26718,0.17512906780326956,0.34610138121138895
26719,0.4017746938742552,0.637009768412186
26720,0.1548277106020431,0.42449080095108854
26721,0.13094007421686105,0.2283991470145042
26722,0.270805697063079,0.5007699492525411
26723,0.21135369545551322,0.5478514490367026
26724,0.21135369545551322,0.5478514490367026
26725,0.12885262291847516,0.3110457053609262
26726,0.16963683637712265,0.29639534944055496
26727,0.21135369545551322,0.5478514490367026
26728,0.14541815352620002,0.3972616083550925
26729,0.5974102461197878,0.8662435199321361
26730,0.21135369545551322,0.5478514490367026
26731,0.21135369545551322,0.5478514490367026
26732,0.15949711080774387,0.27347835995742364
26733,0.4398974990668697,0.6824632538180436
26734,0.24103078171989095,0.45025850849133986
26735,0.16543993858487188,0.3629966544679837
26736,0.1709117288136304,0.382369670163278
26737,0.4398974990668697,0.6824632538180436
26738,0.1400920228843909,0.3399963427798006
26739,0.4017746938742552,0.637009768412186
26740,0.15409945255823412,0.3834998947851469
26741,0.270805697063079,0.5007699492525411
26742,0.15697995308504067,0.38225079233428433
26743,0.17512906780326956,0.34610138121138895
26744,0.16472617959383606,0.32109505273812033
26745,0.21135369545551322,0.5478514490367026
26746,0.16543993858487188,0.3629966544679837
26747,0.19889646601794098,0.3932874119869596
26748,0.13094007421686105,0.2283991470145042
26749,0.22779430700999487,0.4225901266991415
26750,0.21135369545551322,0.5478514490367026
26751,0.38417910419705986,0.6106120608413118
26752,0.2386151385960351,0.5974134858439073
26753,0.21135369545551322,0.5478514490367026
26754,0.4017746938742552,0.637009768412186
26755,0.21135369545551322,0.5478514490367026
26756,0.1709117288136304,0.382369670163278
